InputSize InsertionSort QuickSort RadixSort HeapSort InsertionSortSorted QuickSortSorted RadixSortSorted HeapSortSorted
1 219 348 1311 654 255 388 450 591
2 216 785 1464 504 215 612 1477 463
3 84 378 267 136 63 295 315 113
4 94 266 279 220 56 240 301 189
5 131 230 320 227 82 190 306 177
6 139 296 424 379 65 280 325 283
7 201 408 427 388 117 334 416 300
8 208 419 456 502 74 367 388 426
9 238 494 604 585 80 537 560 496
10 272 598 945 672 94 537 498 559
20 862 1577 1990 1673 307 1626 2112 1402
30 912 1706 2386 1866 179 959 2136 878
40 881 1724 1428 2121 116 1228 1393 1210
50 1302 2299 1776 3608 171 1869 1668 2647
60 1579 2395 1758 6133 172 2143 1876 4909
70 2077 2944 2422 5152 191 3654 2367 3244
80 2532 3374 2158 4414 191 3825 2321 2069
90 2432 3287 1732 4183 187 5819 2065 1885
100 2525 3515 2319 4348 144 5821 1626 1804
200 10260 9119 6206 11815 423 27302 6127 5867
300 20922 13850 8591 18354 523 43214 8618 11420
400 23081 16503 7031 21452 427 58233 7073 10701
500 33145 20765 10203 27172 495 81856 10143 15193
600 45260 25648 11972 32924 572 112680 12208 20110
700 60295 30267 14364 39527 666 151496 14208 25541
800 76195 35059 15939 45955 759 190574 15872 30026
900 93296 39230 18003 52435 849 234758 17886 35723
1000 112254 44735 24024 59909 956 280458 18554 38882
2000 371890 84034 45439 111596 1562 912284 45922 77169
3000 929307 119439 64559 159554 2602 1805479 63052 110961
4000 1436956 161642 74170 218231 3290 3176004 71699 148018
5000 2067805 208295 89955 282799 3643 4915515 89419 196934
6000 2924785 255631 106628 343001 4614 6992678 107500 234249
7000 3958985 298488 121793 403637 5285 9432630 124265 277437
8000 5093715 346459 140868 471701 5927 12307583 144310 311898
9000 6453949 395816 179635 535245 6709 15588999 162341 364697
